epoch,train_loss,valid_loss,accuracy,time
0,1.9991036653518677,2.2844431400299072,0.2636803388595581,00:41
1,1.9133497476577759,1.915529727935791,0.34919828176498413,00:42
2,1.8049019575119019,1.896281361579895,0.3311275243759155,00:42
3,1.6632425785064697,1.5896027088165283,0.44566047191619873,00:42
4,1.474686861038208,1.7077155113220215,0.4308984577655792,00:42
5,1.3098206520080566,1.2347760200500488,0.5698651075363159,00:42
6,1.183838129043579,1.5898414850234985,0.5105624794960022,00:42
7,1.0574476718902588,1.0015887022018433,0.6592007875442505,00:42
8,0.9539401531219482,1.0421210527420044,0.6426571607589722,00:42
9,0.837862491607666,0.8313992023468018,0.7215576767921448,00:42
10,0.7465503811836243,1.2013987302780151,0.6131331324577332,00:42
11,0.6486003994941711,0.7312493920326233,0.7574446201324463,00:42
12,0.5381830334663391,0.8064349293708801,0.7500636577606201,00:42
13,0.48000621795654297,0.6758557558059692,0.7839145064353943,00:42
14,0.40787336230278015,0.7162317633628845,0.775260865688324,00:42
15,0.3409358859062195,0.6726210117340088,0.792059063911438,00:42
16,0.28483307361602783,0.6585578918457031,0.8014761805534363,00:43
17,0.2597716450691223,0.6560208201408386,0.8014761805534363,00:42
18,0.22816285490989685,0.6474881172180176,0.8063120245933533,00:42
19,0.22446046769618988,0.6488955020904541,0.8065665364265442,00:42
