epoch,train_loss,valid_loss,accuracy,time
0,2.8202898502349854,2.3293263912200928,0.18579791486263275,01:16
1,2.5811495780944824,5.003422737121582,0.18528887629508972,01:14
2,2.4670000076293945,5.118585586547852,0.1572919338941574,01:13
3,2.475651264190674,141.11260986328125,0.10358870029449463,01:13
4,2.4641318321228027,2.428406000137329,0.1931789219379425,01:13
5,2.416504383087158,11.334015846252441,0.08806312084197998,01:13
6,2.423008441925049,2.2203776836395264,0.217612624168396,01:13
7,2.3149092197418213,2.4706931114196777,0.22550266981124878,01:13
8,2.2606735229492188,2.0683534145355225,0.24510052800178528,01:13
9,2.2154171466827393,3.3784067630767822,0.24662764370441437,01:13
10,2.2178854942321777,4.900605201721191,0.13056758046150208,01:13
11,2.1538803577423096,2.2029027938842773,0.24510052800178528,01:12
12,2.077606439590454,2.093687057495117,0.28684142231941223,01:12
13,2.045992612838745,2.0593175888061523,0.29193177819252014,01:12
14,1.9955111742019653,2.004486083984375,0.2876049876213074,01:12
15,1.9305920600891113,1.9152487516403198,0.31967422366142273,01:12
16,1.8819915056228638,1.8018112182617188,0.3568337857723236,01:12
17,1.8528242111206055,1.770870327949524,0.36090609431266785,01:12
18,1.834061861038208,1.754611611366272,0.36726903915405273,01:12
19,1.8136382102966309,1.7600281238555908,0.3652328848838806,01:12
