epoch,train_loss,valid_loss,accuracy,time
0,2.005764961242676,2.2412643432617188,0.2486637830734253,01:01
1,1.8950631618499756,1.7777304649353027,0.3827946186065674,01:00
2,1.8430907726287842,2.357536792755127,0.3028760552406311,01:00
3,1.677087664604187,1.477065086364746,0.47747519612312317,01:00
4,1.473372459411621,2.0885372161865234,0.3176380693912506,01:00
5,1.3302321434020996,1.3863344192504883,0.5349962115287781,01:00
6,1.1908447742462158,1.3413997888565063,0.5586663484573364,01:00
7,1.0711331367492676,0.9684183597564697,0.6670908331871033,01:00
8,0.9453309178352356,1.3739345073699951,0.5525578856468201,01:00
9,0.844146728515625,0.8453355431556702,0.7164673209190369,01:00
10,0.7519417405128479,1.1343661546707153,0.655128538608551,01:00
11,0.6551650166511536,0.7297856211662292,0.7582082152366638,01:00
12,0.5824899673461914,0.8001599907875061,0.72868412733078,01:00
13,0.48238328099250793,0.7075554728507996,0.7760244607925415,01:00
14,0.4159826934337616,0.7398698329925537,0.7709341049194336,01:00
15,0.35633501410484314,0.6919146776199341,0.7851870656013489,01:00
16,0.3045090436935425,0.6785426735877991,0.7956222891807556,01:00
17,0.25355321168899536,0.6644008159637451,0.8002036213874817,01:00
18,0.2175443172454834,0.6693013310432434,0.8032578229904175,01:00
19,0.22516494989395142,0.6719622015953064,0.8030033111572266,01:00
